Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),Photo ID,X,Y,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Subtype 2 (Finnish),Rock type (Finnish),PhotoID,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Ajoitusperuste,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Stone art (Finnish)
SA,777010026,Suomussalmi,Nuolisärkkä,KM,19843,44.0,7236095.0,3613658.0,199,False,False,False,False,True,False,False,True,True,True,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 19843_44,"29,4243359","65,20129711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010009,Evijärvi,Timonen 1,KM,20083,122.0,7044415.0,3317898.0,60,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 20083_122,"23,34449807","63,45479043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,92010031,Vantaa,Jönsas,KM,20087,437.0,6685309.0,3381283.0,31,False,False,True,False,False,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 20087_437,"24,85217506","60,26180494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,777010114,Suomussalmi,Kukkosaari,KM,20593,87.0,7201478.0,3592642.0,199,False,False,True,True,True,True,True,True,True,True,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,18.0,12.0,8.0,,,,,KM 20593_87,"28,95289744","64,89756391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,20603,123.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 20603_123,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,20603,699.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 20603_699,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,20603,1341.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 20603_1341,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,20603,1458.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 20603_1458,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,20603,1472.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 20603_1472,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,20603,1568.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 20603_1568,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
