Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;50010033;Eura;Kolmhaara;KM;14898;11;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;32;11;6;;;;reiällinen, pitkänomainen;KM 14898_11
SA;50010033;Eura;Kolmhaara;KM;14898;12;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Round amber pendant;Meripihkariipus, pyöreä;1;TRUE;17;16;6;;;;pyöreä, reikä viisto;KM 14898_12
SA;50010033;Eura;Kolmhaara;KM;14898;13;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Round amber pendant;Meripihkariipus, pyöreä;1;TRUE;19;17;7;;;;pyöreä, reiällinen;KM 14898_13
SA;50010033;Eura;Kolmhaara;KM;14898;14;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;19;14;3;;;;reiällinen, litteä, muovailematon;KM 14898_14
SA;50010033;Eura;Kolmhaara;KM;14898;15;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;19;13;6;;;;reiällinen, hampaanmuotoinen;KM 14898_15
SA;50010033;Eura;Kolmhaara;KM;14898;16;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;31;27;9;;;;kaksi reikää;KM 14898_16
SA;50010033;Eura;Kolmhaara;KM;14898;17;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;24;18;6;;;;reiällinen;KM 14898_17
SA;50010033;Eura;Kolmhaara;KM;14898;18;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;24;17;7;;;;reiällinen, toinen pinta syöpynyt;KM 14898_18
SA;50010033;Eura;Kolmhaara;KM;14898;19;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;28;19;5;;;;reiällinen, litteä;KM 14898_19
SA;50010033;Eura;Kolmhaara;KM;14898;20;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;26;15;5;;;;reiällinen, suiponsoikea;KM 14898_20
SA;50010033;Eura;Kolmhaara;KM;14898;21;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;30;25;11;;;;reiällinen, litteä;KM 14898_21
SA;50010033;Eura;Kolmhaara;KM;14898;22;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;40;20;9;;;;reiällinen, pitkänomainen kielenmuotoinen;KM 14898_22
SA;50010033;Eura;Kolmhaara;KM;14898;23;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;41;21;8;;;;reiällinen, pitkänomainen;KM 14898_23
SA;50010033;Eura;Kolmhaara;KM;14898;25;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;33;15;10;;;;reiällinen;KM 14898_25
SA;50010033;Eura;Kolmhaara;KM;14898;26;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;34;17;8;;;;iso reikä;KM 14898_26
SA;50010033;Eura;Kolmhaara;KM;14898;27;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;30;16;8;;;;reiällinen;KM 14898_27
SA;50010033;Eura;Kolmhaara;KM;14898;28;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;25;21;6;;;;reiällinen, litteä, muodoltaan kolmiomainen;KM 14898_28
SA;50010033;Eura;Kolmhaara;KM;14898;29;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Hemispherical amber pendant;Meripihkariipus, puolipallo;1;TRUE;25;22;7;;;;reiällinen, litteä;KM 14898_29
SA;50010033;Eura;Kolmhaara;KM;14898;30;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;27;17;7;;;;alun perin kaksi reikää, litteä;KM 14898_30
SA;50010033;Eura;Kolmhaara;KM;14898;31;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;24;16;7;;;;reiällinen, litteä;KM 14898_31
SA;50010033;Eura;Kolmhaara;KM;14898;32;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;28;18;7;;;;reiällinen, litteä;KM 14898_32
SA;50010033;Eura;Kolmhaara;KM;14898;33;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;28;18;7;;;;reiällinen, litteä;KM 14898_33
SA;50010033;Eura;Kolmhaara;KM;14898;34;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;28;17;7;;;;reiällinen, litteä, epäsymmetrinen;KM 14898_34
SA;50010033;Eura;Kolmhaara;KM;14898;35;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;26;17;9;;;;"ei mittoja; reiällinen, litteä";KM 14898_35
SA;50010033;Eura;Kolmhaara;KM;14898;36;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;23;16;7;;;;reiällinen;KM 14898_36
SA;50010033;Eura;Kolmhaara;KM;14898;37;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;23;18;8;;;;reiällinen;KM 14898_37
SA;50010033;Eura;Kolmhaara;KM;14898;38;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;TRUE;28;18;7;;;;reiällinen;KM 14898_38
