Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish)
SA;538010014;KM;23594;1-4;Nousiainen;Kukonharju;6738042;3230237;37,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Comb Ware;Comb Ware;Ka ?;1;hiekka;orgaaninen;TRUE;FALSE;FALSE;
SA;1000001481;KM;23595;1-27;Nousiainen;P„itti”nsuo;6737480;3230240;37;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Comb Ware;Sperrings 2 Ware;Ka 1:2;2;hiekka;orgaaninen;FALSE;TRUE;FALSE;
SA;538010031;KM;23596;1-3;Nousiainen;Rauanniittu;6737527;3231041;40;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;J„k„rl„ Ware;J„k„rl„ Ware;J„k„rl„;3;hiekka;;TRUE;FALSE;FALSE;
SA;420010007;KM;23599;1-6;Lepp„virta;Harjula;6928300;3561653;92;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;FALSE;TRUE;FALSE;
SA;853010048;KM;23601;1-334;Turku;Niuskala;6716521;3242910;22;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pottery;Kiukainen Ware;Kiukainen Ware;Kiukainen;2;hiekka;kivimurska;FALSE;FALSE;TRUE;karsta (259)
SA;1000004062;KM;23609;1-2;Lohja;Paloniemi 2;6687800;3334685;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;;;TRUE;FALSE;FALSE;
SA;297010008;KM;23616;1-21;Kuopio;Hiekka-aho;6990320;3516420;100;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;TRUE;FALSE;FALSE;
SA;444010032;KM;23642;1-4;Lohja;Ylitalo;6685074;3327683;40;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;;;TRUE;FALSE;FALSE;
SA;1000004064;KM;23644;1-4;Lohja;Ketonokka;6684673;3325149;40;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;;;TRUE;FALSE;FALSE;
SA;444010042;KM;23649;;Lohja;Virmonsaari;6684249;3330860;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;orgaaninen;;TRUE;FALSE;FALSE;
SA;444010011;KM;23657;1-8;Lohja;Salmensuu;6681455;3329992;37;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;hiekka;;TRUE;FALSE;FALSE;
SA;444010020;KM;23661;1-3;Lohja;Pensaari 2;6680442;3330907;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;hiekka;;TRUE;FALSE;FALSE;
SA;444010024;KM;23663;1-2;Lohja;Koivuaho;6678933;3329957;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;hiekka;;TRUE;FALSE;FALSE;
SA;220010105;KM;23679;1-4;Raasepori;Timpa;6675435;3324721;27;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Comb Ware;Comb Ware;Ka ?;2;hiekka;;TRUE;FALSE;FALSE;
SA;220010107;KM;23683;1-4;Raasepori;Skr„ddarbacka;6674626;3325345;40;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Corded Ware;Corded Ware;nuora;3;;;TRUE;FALSE;FALSE;
SA;44010020;KM;23690;1-3;Kouvola;Ruskiasuo;6724430;3474120;25;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Comb Ware;Sperrings 1 Ware;Ka 1:1;1;hiekka;;FALSE;TRUE;FALSE;
SA;503010040;KM;23695;1-13;Myn„m„ki;Pyheensilta, Laajoen luoteispuoli;6747129;3223642;30;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Pyheensilta Ware;Pyheensilta Ware;Pyheensilta;2;orgaaninen;;FALSE;TRUE;FALSE;
SA;410010020;KM;23697;1-139;Laukaa;Hartikka;6920630;3451900;92;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;asbesti;FALSE;FALSE;TRUE;maalausta (80), koivuterva (77)
SA;410010020;KM;23697;1-139;Laukaa;Hartikka;6920630;3451900;92;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Middle and Late Neolithic Asbestos- and Organic Tempered Ware;P”lj„ Ware;P”lj„;3;asbesti;;FALSE;FALSE;FALSE;
SA;595010015;KM;23698;1-4;Pielavesi;Kivim„ki;7038440;3480630;113;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;hiekka;;TRUE;FALSE;FALSE;
