Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;52010071;Evijärvi;Isokangas;KM;20603;1472;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 20603_1472
SA;52010071;Evijärvi;Isokangas;KM;20603;1568;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 20603_1568
SA;621010016;Pedersöre;Purmo-Hundbacken/Myllykangas;KM;20723;211;7034739;3305968;55;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 20723_211
SA;621010016;Pedersöre;Purmo-Hundbacken/Myllykangas;KM;20723;224;7034739;3305968;55;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 20723_224
SA;621010016;Pedersöre;Purmo-Hundbacken/Myllykangas;KM;20999;14;7034739;3305968;55;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 20999_14
SA;621010016;Pedersöre;Purmo-Hundbacken/Myllykangas;KM;20999;23;7034739;3305968;55;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;21;11;7;;;;hampaanjälkiä;KM 20999_23
SA;621010016;Pedersöre;Purmo-Hundbacken/Myllykangas;KM;20999;235;7034739;3305968;55;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;22;18;7;hampaanjälkiä;KM 20999_235
SA;52010071;Evijärvi;Isokangas;KM;21166;539;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 21166_539
SA;621010016;Pedersöre;Purmo-Hundbacken/Myllykangas;KM;21349;29;7034739;3305968;55;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;28;16;10;hampaanjälkiä;KM 21349_29
SA;765010010;Sotkamo;Kiikarusniemi;KM;21482;22;7116710;3567120;137;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;14;11;11;;;;;KM 21482_22
SA;594010001;Pieksämäki;Naarajärvi;KM;22019;402;6907350;3502460;82;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 22019_402
SA;890010001;Utsjoki;Ala-Jalve;KM;22488;1446;7777280;3527000;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;17;14;5;;;;Puupainanteita;KM 22488_1446
SA;47010076;Enontekiö;Proksinkenttä;KM;22841;130;7593361;3363136;288;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;3;FALSE;;;;;;;4 kpl;KM 22841_130
SA;593010001;Pieksämäki;Tahinniemi;KM;22955;193;6913850;3507670;120;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;2 kpl, hampaanjälkiä;KM 22955_193
SA;593010001;Pieksämäki;Tahinniemi;KM;22955;197;6913850;3507670;120;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;1 kpl, hampaanjälkiä;KM 22955_197
SA;559010018;Vöyri;Fårmossen 1-2;KM;23233;5;7023600;3276120;45;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 23233_5
