Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,Category,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Type,Subtype,Subtype (Finnish),m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Subtype 2 (Finnish),Stone art (Finnish)
IA,277010035,Jyväskylä,Taikinaisniemi,KM,15658,1,6863360.0,3426840.0,85,Iron artefact,Keihäänkärki,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,144.0,28.0,,,,,"Löydöt K-Suomen museossa, kuva Finnassa",KM 15658_1,"25,60638007","61,86998265",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,277010035,Jyväskylä,Taikinaisniemi,KM,15658,2,6863360.0,3426840.0,85,Iron artefact,Veitsi; kaarevaselkäinen,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,140.0,,,,,,"Löydöt K-Suomen museossa, kuva Finnassa",KM 15658_2,"25,60638007","61,86998265",Iron knife,Curved-backed iron knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,277010035,Jyväskylä,Taikinaisniemi,KM,15658,2,6863360.0,3426840.0,85,Iron artefact,Veitsi; kaarevaselkäinen,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,140.0,,,,,,"Löydöt K-Suomen museossa, kuva Finnassa",KM 15658_2,"25,60638007","61,86998265",Iron knife,Curved-backed iron knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,680010007,Raisio,Pappilanmäki,KM,15673,1,6717878.0,3234773.0,15,Iron artefact,Miekka,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,1.0,True,110.0,,,,,,"Myös alanrolla 4 miekan kahvan katkelma, joka väistimen perusteella ehkä myös ristiretkiaikainen",KM 15673_1,"22,17016585","60,48403509",Iron sword,Iron sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,680010007,Raisio,Pappilanmäki,KM,15673,1,6717878.0,3234773.0,15,Iron artefact,Miekka,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,1.0,True,110.0,,,,,,"Myös alanrolla 4 miekan kahvan katkelma, joka väistimen perusteella ehkä myös ristiretkiaikainen",KM 15673_1,"22,17016585","60,48403509",Iron sword,Iron sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,680010007,Raisio,Pappilanmäki,KM,15673,2,6717878.0,3234773.0,15,Iron artefact,Keihäänkärki; Petersen G,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2.0,True,40.0,,,,,,Linkitä!,KM 15673_2,"22,17016585","60,48403509",Iron spearhead,Petersen G type iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,680010007,Raisio,Pappilanmäki,KM,15673,2,6717878.0,3234773.0,15,Iron artefact,Keihäänkärki; Petersen G,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2.0,True,40.0,,,,,,Linkitä!,KM 15673_2,"22,17016585","60,48403509",Iron spearhead,Petersen G type iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,680010007,Raisio,Pappilanmäki,KM,15673,3,6717878.0,3234773.0,15,Iron artefact,Keihäänkärki,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,1.0,False,,,,215.0,37.0,,Linkitä!,KM 15673_3,"22,17016585","60,48403509",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,680010007,Raisio,Pappilanmäki,KM,15673,3,6717878.0,3234773.0,15,Iron artefact,Keihäänkärki,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,1.0,False,,,,215.0,37.0,,Linkitä!,KM 15673_3,"22,17016585","60,48403509",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,291040019,Kuhmoinen,Hokkala,KM,15675,1,6829615.0,3403378.0,92,Iron artefact,Kirves,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,1.0,True,154.0,44.0,,,,,,KM 15675_1,"25,17867916","61,56209355",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
