Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Stray find;Cairn;Hoard;Other context;Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);PhotoID;X;Y
IA;220010002;Raasepori;Domargård I;KM;21634;1800;6663430;3312339;25;Clay artefacts;Saviesine;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;150;73;;;Valinmuotti tai suulake, pajatoimintaan liittyvä juttu? Pyöreä putkiosa, jossa reiän halk. 25 mm, toinen pää avoin, toisessa päässä litteä, lapiomainen osa, joka katkennut.;KM 21634_1800;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1295;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;TRUE;105;;35;;;;Melkein kokonainen, paloista koottu. reiän halk. 15 mm. Toisella puolella kaski kuoppariviä ympäröi reikää. Vastakkaisella puolella sormen levyinen painanneura.;KM 21634_1295;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1652;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;9 kpl fragmentaarisia, Osa kuvattu.;KM 21634_1652;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;26;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_26;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1615;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;TRUE;129;119;98;;;;Paloista liimattu, hieman pallomainen ja paksu, tosi kovassa kuumuudessa ollut, kuonaantunut täysin molemmin puolin, mutta vain kiekon toiselta puoliskolta.;KM 21634_1615;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;84;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_84;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1361;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1361;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1027;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1027;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1069;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment. Kuonaantunut. PALLOMAINEN;KM 21634_1069;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1027;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1027;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;84;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_84;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1665;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;17 kpl fragmentaarisia, Ei kuvattu.;KM 21634_1665;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;4;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;2 kpl paksusta kiekosta;KM 21634_4;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;22442;34;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Fragmentteja;KM 22442_34;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1069;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment. Kuonaantunut. PALLOMAINEN;KM 21634_1069;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21917;68;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;Fragmentteja, joissa pyöreitä painanteita koristeluna.;KM 21917_68;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;26;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_26;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;22442;34;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Fragmentteja;KM 22442_34;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;22442;72;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Fragmentti, ei kuvaa koska oli niin epäselvä (myöhempi huomio);KM 22442_72;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21917;89;6663430;3312339;25;Clay artefacts;"Muotti; upokas";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;3;FALSE;;;;;;;Kuonaantunut fragmentti putkimaisesta esineestä, melko ohuet seinät;KM 21917_89;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21917;68;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;Fragmentteja, joissa pyöreitä painanteita koristeluna.;KM 21917_68;23,62884517;60,03980989
