Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish)
IA;1000003147;Ylitornio;Kenttämaa;KM;8326;36-38;7376261;3377913;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;hiekka;;TRUE;FALSE;FALSE;karsta (38)
IA;257010027;Kirkkonummi;Pappila;KM;8532;1;6671200;3357983;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;uusi 4395;Uusikirkko;;KM;8638;1-5;6705158;3614334;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;TRUE;FALSE;FALSE;karsta (1)
IA;uusi 4420;Uusikirkko;Kelonen;KM;8699;1-98;6705158;3614334;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;TRUE;FALSE;FALSE;karsta (57)
IA;853010019;Turku;Maaria Kärsämäki;KM;8773;1-916;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;FALSE;FALSE;TRUE;
IA;853010019;Turku;Maaria Kärsämäki;KM;8773;1-916;6716949;3241201;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;kivimurska;;FALSE;FALSE;TRUE;karsta (56)
IA;49010037;Espoo;Putkars;KM;8822;3;6682379;3362988;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;49010002;Espoo;Finns;KM;8830;1-3;6677931;3365659;19;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;uusi 4569;Nousiainen;;KM;8909;1;6733367;3233430;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;hiekka;;TRUE;FALSE;FALSE;
IA;538010016;Nousiainen;Koivumäki;KM;8909;2;6735586;3233459;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;hiekka;;TRUE;FALSE;FALSE;
IA;538010016;Nousiainen;Koivumäki;KM;8929;2;6735586;3233459;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;9044;5-13;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;hiekka;;TRUE;FALSE;FALSE;tasapohjapaloja
IA;49010016;Espoo;Sperrings;KM;9107;21;6679937;3365569;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;hiekka;;TRUE;FALSE;FALSE;
IA;uusi 4261;Muolaa;Kannilanjoki;KM;9448;1-61;6725949;3636718;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;2;hiekka;;TRUE;FALSE;FALSE;karsta (61)
