Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Ajoitusperuste,Subtype 2,Subtype 2 (Finnish)
BA,564010051,Oulu,Hangaskangas,KM,31379,92.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,58.0,14.0,3.0,,KM 31379_92,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,93.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,68.0,8.0,4.0,,KM 31379_93,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,94.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,43.0,9.0,5.0,,KM 31379_94,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,95.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,31.0,11.0,5.0,kärkikatkelma,KM 31379_95,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,96.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,50.0,8.0,4.0,kärkikatkelma,KM 31379_96,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,97.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,48.0,10.0,3.0,kärkikatkelma,KM 31379_97,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,98.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,31.0,,4.0,kärkikatkelma,KM 31379_98,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,99.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,58.0,,3.0,kärkikatkelma,KM 31379_99,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,100.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,38.0,,3.0,,KM 31379_100,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,101.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,22.0,6.0,3.0,kärkikatkelma,KM 31379_101,"25,78367254","64,89675774",,,,,,,,,,,,,,,
